FID,POINTID,X,Y,Class_ID,Class_ID
0,1,83.0147018,25.3931999,1,Low
1,2,83.0149002,25.3931999,1,Low
2,3,83.0151978,25.3931999,1,Low
3,4,83.0155029,25.3931999,1,Low
4,5,83.0158005,25.3931999,1,Low
5,6,83.016098,25.3931999,1,Low
6,7,83.0162964,25.3931999,1,Low
7,8,83.0166016,25.3931999,1,Low
8,9,83.0168991,25.3931999,1,Low
9,10,83.0171967,25.3931999,2,Modrate
10,11,83.0174026,25.3931999,2,Modrate
11,12,83.0177002,25.3931999,1,Low
12,13,83.0179977,25.3931999,1,Low
13,14,83.0183029,25.3931999,1,Low
14,15,83.0186005,25.3931999,1,Low
15,16,83.0187988,25.3931999,1,Low
16,17,83.0190964,25.3931999,1,Low
17,18,83.0194016,25.3931999,1,Low
18,19,83.0196991,25.3931999,1,Low
19,20,83.0199966,25.3931999,1,Low
20,21,83.0202026,25.3931999,1,Low
21,22,83.0205002,25.3931999,1,Low
22,23,83.0207977,25.3931999,1,Low
23,24,83.0211029,25.3931999,1,Low
24,25,83.0213013,25.3931999,2,Modrate
25,26,83.0215988,25.3931999,1,Low
26,27,83.0218964,25.3931999,1,Low
27,28,83.0222015,25.3931999,2,Modrate
28,29,83.0223999,25.3931999,1,Low
29,30,83.0226974,25.3931999,1,Low
30,31,83.0230026,25.3931999,1,Low
31,32,83.0233002,25.3931999,1,Low
32,33,83.0235977,25.3931999,1,Low
33,34,83.0238037,25.3931999,2,Modrate
34,35,83.0241013,25.3931999,1,Low
35,36,83.0243988,25.3931999,2,Modrate
36,37,83.0246964,25.3931999,2,Modrate
37,38,83.0249023,25.3931999,1,Low
38,39,83.0251999,25.3931999,1,Low
39,40,83.0254974,25.3931999,1,Low
40,41,83.0258026,25.3931999,1,Low
41,42,83.0261002,25.3931999,1,Low
42,43,83.0262985,25.3931999,1,Low
43,44,83.0266037,25.3931999,1,Low
44,45,83.0269012,25.3931999,1,Low
45,46,83.0271988,25.3931999,1,Low
46,47,83.0274963,25.3931999,1,Low
47,48,83.0147018,25.3929996,1,Low
48,49,83.0149002,25.3929996,1,Low
49,50,83.0151978,25.3929996,1,Low
50,51,83.0155029,25.3929996,1,Low
51,52,83.0158005,25.3929996,1,Low
52,53,83.016098,25.3929996,1,Low
53,54,83.0162964,25.3929996,1,Low
54,55,83.0166016,25.3929996,1,Low
55,56,83.0168991,25.3929996,1,Low
56,57,83.0171967,25.3929996,2,Modrate
57,58,83.0174026,25.3929996,2,Modrate
58,59,83.0177002,25.3929996,1,Low
59,60,83.0179977,25.3929996,1,Low
60,61,83.0183029,25.3929996,1,Low
61,62,83.0186005,25.3929996,1,Low
62,63,83.0187988,25.3929996,1,Low
63,64,83.0190964,25.3929996,1,Low
64,65,83.0194016,25.3929996,1,Low
65,66,83.0196991,25.3929996,1,Low
66,67,83.0199966,25.3929996,1,Low
67,68,83.0202026,25.3929996,1,Low
68,69,83.0205002,25.3929996,1,Low
69,70,83.0207977,25.3929996,1,Low
70,71,83.0211029,25.3929996,2,Modrate
71,72,83.0213013,25.3929996,1,Low
72,73,83.0215988,25.3929996,1,Low
73,74,83.0218964,25.3929996,4, Very High
74,75,83.0222015,25.3929996,1,Low
75,76,83.0223999,25.3929996,1,Low
76,77,83.0226974,25.3929996,1,Low
77,78,83.0230026,25.3929996,1,Low
78,79,83.0233002,25.3929996,1,Low
79,80,83.0235977,25.3929996,1,Low
80,81,83.0238037,25.3929996,1,Low
81,82,83.0241013,25.3929996,1,Low
82,83,83.0243988,25.3929996,1,Low
83,84,83.0246964,25.3929996,1,Low
84,85,83.0249023,25.3929996,1,Low
85,86,83.0251999,25.3929996,1,Low
86,87,83.0254974,25.3929996,1,Low
87,88,83.0258026,25.3929996,1,Low
88,89,83.0261002,25.3929996,1,Low
89,90,83.0262985,25.3929996,1,Low
90,91,83.0266037,25.3929996,1,Low
91,92,83.0269012,25.3929996,1,Low
92,93,83.0271988,25.3929996,1,Low
93,94,83.0274963,25.3929996,1,Low
94,95,83.0277023,25.3929996,2,Modrate
95,96,83.0279999,25.3929996,2,Modrate
96,97,83.0282974,25.3929996,1,Low
97,98,83.0286026,25.3929996,1,Low
98,99,83.028801,25.3929996,1,Low
99,100,83.0290985,25.3929996,1,Low
100,101,83.0294037,25.3929996,1,Low
101,102,83.0297012,25.3929996,1,Low
102,103,83.0298996,25.3929996,1,Low
103,104,83.0301971,25.3929996,1,Low
104,105,83.0305023,25.3929996,1,Low
105,106,83.0307999,25.3929996,1,Low
106,107,83.0310974,25.3929996,1,Low
107,108,83.0313034,25.3929996,1,Low
108,109,83.031601,25.3929996,2,Modrate
109,110,83.0318985,25.3929996,2,Modrate
110,111,83.0322037,25.3929996,1,Low
111,112,83.032402,25.3929996,1,Low
112,113,83.0326996,25.3929996,1,Low
113,114,83.0329971,25.3929996,1,Low
114,115,83.0333023,25.3929996,1,Low
115,116,83.0335999,25.3929996,1,Low
116,117,83.0337982,25.3929996,1,Low
117,118,83.0341034,25.3929996,1,Low
118,119,83.0344009,25.3929996,2,Modrate
119,120,83.0346985,25.3929996,1,Low
120,121,83.0143967,25.3927002,1,Low
121,122,83.0147018,25.3927002,1,Low
122,123,83.0149002,25.3927002,1,Low
123,124,83.0151978,25.3927002,1,Low
124,125,83.0155029,25.3927002,1,Low
125,126,83.0158005,25.3927002,1,Low
126,127,83.016098,25.3927002,1,Low
127,128,83.0162964,25.3927002,1,Low
128,129,83.0166016,25.3927002,1,Low
129,130,83.0168991,25.3927002,2,Modrate
